time_sec,target_rps,actual_sent,success_count,fail_count,sla_violation_count,avg_latency_ms,p95_latency_ms,active_ports,scenario,phase
72,95,95,95,0,0,315.61,347.11,"8001,8002,8003",sale_event,normal
73,97,97,97,0,0,330.43,371.61,"8001,8002,8003",sale_event,normal
74,80,80,80,0,0,236.33,267.0,"8001,8002,8003",sale_event,normal
75,86,86,86,0,0,278.35,289.22,"8001,8002,8003",sale_event,normal
76,96,96,96,0,0,318.99,347.68,"8001,8002,8003",sale_event,normal
77,93,93,93,0,0,297.89,315.89,"8001,8002,8003",sale_event,normal
78,100,100,100,0,0,295.42,341.83,"8001,8002,8003",sale_event,normal
79,87,87,87,0,0,236.25,284.7,"8001,8002,8003",sale_event,normal
80,88,88,88,0,0,236.69,295.47,"8001,8002,8003",sale_event,normal
81,93,93,93,0,0,270.99,324.31,"8001,8002,8003",sale_event,normal
82,84,84,84,0,0,263.18,282.5,"8001,8002,8003",sale_event,normal
83,81,81,81,0,0,258.83,264.09,"8001,8002,8003",sale_event,normal
84,84,84,84,0,0,260.03,283.98,"8001,8002,8003",sale_event,normal
85,80,80,80,0,0,240.36,267.78,"8001,8002,8003",sale_event,normal
86,94,94,94,0,0,307.14,326.96,"8001,8002,8003",sale_event,normal
87,99,99,99,0,0,286.14,320.03,"8001,8002,8003",sale_event,normal
88,85,85,85,0,0,269.29,307.75,"8001,8002,8003",sale_event,normal
89,94,94,94,0,0,251.32,316.44,"8001,8002,8003",sale_event,normal
90,99,99,99,0,0,314.03,349.5,"8001,8002,8003",sale_event,normal
91,98,98,98,0,0,309.63,321.13,"8001,8002,8003",sale_event,normal
92,99,99,99,0,0,312.8,350.47,"8001,8002,8003",sale_event,normal
93,98,98,98,0,0,324.59,368.18,"8001,8002,8003",sale_event,normal
94,89,89,89,0,0,285.27,299.06,"8001,8002,8003",sale_event,normal
95,84,84,84,0,0,241.5,286.13,"8001,8002,8003",sale_event,normal
96,93,93,93,0,0,290.15,307.3,"8001,8002,8003",sale_event,normal
97,92,92,92,0,0,261.71,304.0,"8001,8002,8003",sale_event,normal
98,93,93,93,0,0,290.81,311.69,"8001,8002,8003",sale_event,normal
99,83,83,83,0,0,229.15,284.49,"8001,8002,8003",sale_event,normal
100,99,99,99,0,0,286.89,334.76,"8001,8002,8003",sale_event,normal
101,84,84,84,0,0,241.04,276.86,"8001,8002,8003",sale_event,normal
102,82,82,82,0,0,245.46,267.14,"8001,8002,8003",sale_event,normal
103,97,97,97,0,0,310.66,351.22,"8001,8002,8003",sale_event,normal
104,84,84,84,0,0,254.23,276.15,"8001,8002,8003",sale_event,normal
105,98,98,98,0,0,303.39,333.32,"8001,8002,8003",sale_event,normal
106,99,99,99,0,0,316.08,337.48,"8001,8002,8003",sale_event,normal
107,89,89,89,0,0,293.19,302.31,"8001,8002,8003",sale_event,normal
108,86,86,86,0,0,261.26,288.36,"8001,8002,8003",sale_event,normal
109,85,85,85,0,0,295.91,320.8,"8001,8002,8003",sale_event,normal
110,89,89,89,0,0,287.5,302.88,"8001,8002,8003",sale_event,normal
111,88,88,88,0,0,283.0,324.33,"8001,8002,8003",sale_event,normal
112,83,83,83,0,0,285.11,302.07,"8001,8002,8003",sale_event,normal
113,96,96,96,0,0,279.66,314.94,"8001,8002,8003",sale_event,normal
114,94,94,94,0,0,303.28,315.96,"8001,8002,8003",sale_event,normal
